"","X","Name","Description","Subject","Keyword","Deposit.Date","Author","Depositor","Citation","FileName","Downloads","Variables","Observations","Repository"
"748",748,"A simple protection evaluation method for no-insulation REBCO pancake coils during local normal-state transition","No-insulation (NI) and metal-insulation (MI) winding techniques are promising for enhancing the thermal stability of REBCO pancake coils, toward the practical use of nuclear magnetic resonance and magnetic resonance imaging systems. The NI and MI REBCO pancake coils showed high thermal stability in many over-current tests. However, a disadvantage is a charging delay due to low turn-to-turn contact resistance. Therefore, many researchers have tried to increase turn-to-turn contact resistance to overcome the charging delay problem. Meanwhile, a partial element equivalent circuit (PEEC) model can accurately simulate the over-current and charging/discharging tests of NI REBCO pancake coils in detail. Using the PEEC model coupling with thermal finite element analysis (FEA), the thermal stability was evaluated during a local normal-state transition. From the simulation results, it was found that a best range of turn-to-turn contact resistance existed to keep a high thermal stability during a local normal-state transition. However, the PEEC and thermal FEA method requires a substantial amount of time with complicated simulation approach. In this paper, we propose a simple mathematical formulation to obtain an appropriate range of turn-to-turn contact resistance during a local normal-state transition, supposing a worst cooling condition. The simple computation is easy to use and timesaving to roughly estimate the operation reliability of NI REBCO pancake coils.","Physics","No-insulation winding technique, quench protection, superconducting magnet",NA,"So Noguchi, Seungyong Hahn, Atsushi Ishiyama, Yukikazu Iwasa",NA,"So Noguchi, Seungyong Hahn, Atsushi Ishiyama, Yukikazu Iwasa, 2021, ""A simple protection evaluation method for no-insulation REBCO pancake coils during local normal-state transition"", https://doi.org/10.7910/DVN/VNTTH1, Harvard Dataverse, V1","c(""19ja009_archival_manuscript.pdf"", ""19ja009_archival_manuscript.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"749",749,"A novel REBCO conductor design to reduce screening-current field in REBCO magnets","Due to its very high critical fields, the second-generation high-temperature superconductor (2G HTS) has been, and is being, used in high-field magnets. However, a persistent screening current induced in the REBCO conductor under time-varying conditions distorts the magnetic field, spatially and temporally. We describe a novel REBCO conductor design composed of Narrow-Stacked (NS) wire, a bundle of 1-mm wide REBCO tapes. The design is based on a fundamental notion that the narrower the REBCO tape width, the smaller the screen-current field (SCF). In this paper, both experimental and simulation work were carried out to analyze SCF in a REBCO coil wound with an NS wire. We demonstrate that the critical current of NS wires can be consistent with the conventional REBCO tape to meet the application requirements. Meanwhile, NS wire indeed substantially results in small SCF, an important requirement in high-field magnets such as for NMR, MRI, and HEP that may rely on REBCO conductor.","Physics","field homogeneity, Narrow-Stacked wire, REBCO coated conductor, Screening current induced field, Temporal field stability",NA,"Mingyang Wang, Zhuyong Li, Yufan Yan, Min Zhang, Jie Sheng, Zhiyong Hong, Zhijian Jin, Yukikazu Iwasa, Timing Qu",NA,"Mingyang Wang, Zhuyong Li, Yufan Yan, Min Zhang, Jie Sheng, Zhiyong Hong, Zhijian Jin, Yukikazu Iwasa, Timing Qu, 2021, ""A novel REBCO conductor design to reduce screening-current field in REBCO magnets"", https://doi.org/10.7910/DVN/NSKXEU, Harvard Dataverse, V1","c(""19ja011_archival_manuscript.pdf"", ""19ja011_archival_manuscript.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"750",750,"Replication Data for: Conducting the heavenly chorus: Constituent contact and provoked petitioning in Congress","This provides replication data for Geoffrey Henderson, Alexander Hertel-Fernandez, Matto Mildenberger and Leah Stokes. ""Conducting the heavenly chorus: Constituent contact and provoked petitioning in Congress"". Perspectives in Politics.","Social Sciences",NA,"2021-03-08","Mildenberger, Matto (UC Santa Barbara) - ORCID: 0000-0001-5784-435X                                                    Henderson, Geoffrey (UC Santa Barbara)                                                    Hertel-Fernandez, Alexander (Columbia University)                                                    Stokes, Leah C. (UC Santa Barbara)","Mildenberger, Matto","Mildenberger, Matto; Henderson, Geoffrey; Hertel-Fernandez, Alexander; Stokes, Leah C., 2021, ""Replication Data for: Conducting the heavenly chorus: Constituent contact and provoked petitioning in Congress"", https://doi.org/10.7910/DVN/ZJ1END, Harvard Dataverse, V1","c(""H-HF-M-S_POP_Replication_Conducting_the_Heavenly_Chorus.R"", ""H-HF-M-S_POP_Replication_Conducting_the_Heavenly_Chorus.R"", ""H-HF-M-S_POP_Replication_Conducting_the_Heavenly_Chorus.R"", ""H-HF-M-S_POP_Replication_Conducting_the_Heavenly_Chorus.R"")","c(0, 0, 0, NA)","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","Harvard Dataverse"
"751",751,"Replication Data for: Diasporic Foreign Policy Interest Groups in the US: Democracy, Conflict, and Political Entrepreneurship","Why do some immigrant diasporas in the United States (US) establish foreign policy interest groups while others do not? While scholars have demonstrated that diasporic interest groups often successfully influence US foreign policy, we take a step back to ask why only certain diasporas attempt to do so in the first place. We argue that two factors increase the likelihood of diaspora mobilization: a community’s experience with democratic governance and conflict in its country of origin. We posit that these conditions make it more likely that political entrepreneurs emerge to serve as catalysts for top-down mobilization. To test our hypotheses, we collect and analyze novel data on diasporic interest groups as well as the characteristics of their respective countries of origin. In turn, we conduct the first in-depth case studies of the historical and contemporary Indian-American lobbies, using original archival and interview evidence. (2021-03-05)","Social Sciences","Diaspora, Interest Groups; Foreign Policy","2021-03-05","Savatic, Filip (Georgetown University) - ORCID: 0000-0002-9311-0916                                                    Prasad, Shubha Kamala (European University Institute) - ORCID: 0000-0003-2530-2323","Savatic, Filip","Savatic, Filip; Prasad, Shubha Kamala, 2021, ""Replication Data for: Diasporic Foreign Policy Interest Groups in the US: Democracy, Conflict, and Political Entrepreneurship"", https://doi.org/10.7910/DVN/VB7ZLX, Harvard Dataverse, V1, UNF:6:YAPNidH3eLm4a6ITaedYFQ== [fileUNF]","c(""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"", ""DiasporicForeignPolicyInterestGroups_Codebook.pdf"")","c(1, 0, 0, 0, 1, 0, 2, NA)","c(89, 89, NA, NA, NA, NA, NA, NA)","c(1100, 1100, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"752",752,"Replication Data for: phase transitions for curvature gap","Replicate Figure 2h-i and Figure 3. (2021-06-28)","Mathematical Sciences; Physics",NA,"2021-06-28","Gosztolai, Adam (EPFL - École Polytechnique Fédérale de Lausanne) - ORCID: 0000-0002-0699-5825","Gosztolai, Adam","Gosztolai, Adam, 2021, ""Replication Data for: phase transitions for curvature gap"", https://doi.org/10.7910/DVN/WNUSTV, Harvard Dataverse, V1","c(""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"", ""eigenvalues_example.py"")","c(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"753",753,"The Digital Mirror Langmuir Probe: Field Programmable Gate Array Implementation of Real-Time Langmuir Probe Biasing","High bandwidth, high spatial resolution measurements of electron temperature, density and plasma potential are valuable for resolving turbulence in the boundary plasma of tokamaks. While conventional Langmuir probes can provide such measurements either their temporal or spatial resolution is limited: the former by the sweep rate necessary for obtaining I-V characteristics and the latter by the need to use multiple electrodes, as is the case in triple and double probe configurations. The Mirror Langmuir Probe (MLP) bias technique overcomes these limitations by rapidly switching the voltage on a single electrode cycling between three bias states, each dynamically optimised for the local plasma conditions. The MLP system on Alcator C-Mod used analog circuitry to perform this function, measuring Te, VF, and Isat at 1.1 MSPS. Recently, a new prototype digital MLP controller has been implemented on a Red Pitaya Field Programmable Gate Array (FPGA) board which reproduces the functionality of the original controller and performs all data acquisition. There is also the potential to provide the plasma parameters externally for use with feedback control systems. The use of FPGA technology means the system is readily customisable at a fraction of the development time and implementation cost. A second Red Pitaya was used to test the MLP by simulating the current response of a physical probe using C-Mod experimental measurements. This project is available as a git repository to facilitate extensibility (e.g. real-time control outputs, more voltage states) and scalability through collaboration.","Physics","diagnostic techniques, diagnostic tools, FPGA, Langmuir probe, plasma",NA,"C. Vincent, W. McCarthy, T. Golfinopoulos, B. LaBombard, R. Sharples, J. Lovell, G. Naylor, S. Hall, J. Harrison, A.Q. Kuang",NA,"C. Vincent, W. McCarthy, T. Golfinopoulos, B. LaBombard, R. Sharples, J. Lovell, G. Naylor, S. Hall, J. Harrison, A.Q. Kuang, 2021, ""The Digital Mirror Langmuir Probe: Field Programmable Gate Array Implementation of Real-Time Langmuir Probe Biasing"", https://doi.org/10.7910/DVN/NSDWFZ, Harvard Dataverse, V1","c(""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"", ""19ja113_archival_manuscript.pdf"")","c(0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"754",754,"Benchmarking of geometric clustering on generative graphs","Results of the geometric clustering algorithm against other methods on the SBM and LFR benchmark graphs. (2021-06-28)","Mathematical Sciences; Physics",NA,"2021-06-28","Gosztolai, Adam (EPFL - École Polytechnique Fédérale de Lausanne) - ORCID: 0000-0002-0699-5825","Gosztolai, Adam","Gosztolai, Adam, 2021, ""Benchmarking of geometric clustering on generative graphs"", https://doi.org/10.7910/DVN/LTJITN, Harvard Dataverse, V1","c(""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"", ""gen_LFR_benchmark.py"")","c(0, 0, 0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"755",755,"ARC reactor materials: Activation analysis and optimization","Nowadays, Fusion Energy is one of the most important sources under study. During the last years, different designs of fusion reactors were considered. At the MIT, an innovative design was created: ARC, the Affordable Robust Compact reactor. It takes advantage of the innovative aspects of recent progress in fusion technology, such as high temperature superconductors, that permit to decrease the dimensions of the machine, reaching at the same time high magnetic fields. Our main goal is the low-activation analysis of possible structural materials for the vacuum vessel, which is designed as a single-piece placed between the first-wall and the tank that contains the breeding blanket. Due to its position, the vacuum vessel is subject to high neutron flux, which can activate it and cause the reduction of the component lifetime and decommissioning problems. The activation analysis was done also for the liquid breeder FLiBe, compared with Lithium-Lead. Codes used for the low-activation analysis were MCNP and FISPACT-II. The first one is based on a neutronics model and for each component a certain neutron flux is evaluated. For FISPACT-II, the main input is the composition of the analyzed material, the neutron flux and the irradiation time. Results from FISPACT-II are the time behavior of specific activity, contact dose rate. To assess suitable structural materials for the vacuum vessel, low-activation properties were considered. Vanadium alloys turn out to be one of the best alternatives to the present material, Inconel-718. Finally, isotopic tailoring and elemental substitution methods were applied. Here, the composition of each alloy is analyzed and critical isotopes or elements are eliminated or reduced. After the modifications, new simulations are done, and those leading to significant improvements in the final results are highlighted.","Physics","FISPACT-II, FLiBe, fusion technology, high magnetic fields, innovative design, neutronics modeling, substitution method, vacuum vessel",NA,"Bocci, B.; Hartwig, Z.; Segantin, S.; Testoni, R.; Whyte, D.; Zucchetti, M.",NA,"Bocci, B.; Hartwig, Z.; Segantin, S.; Testoni, R.; Whyte, D.; Zucchetti, M., 2021, ""ARC reactor materials: Activation analysis and optimization"", https://doi.org/10.7910/DVN/MKTOJY, Harvard Dataverse, V2","c(""20ja054_archival_manuscript.pdf"", ""20ja054_archival_manuscript.pdf"")","c(1, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"756",756,"Nonlinear Reconnection in Magnetized Turbulence","Recent analytical works on strong magnetized plasma turbulence have hypothesized the existence of a range of scales where the tearing instability may govern the energy cascade. In this paper, we estimate the conditions under which such tearing may give rise to full nonlinear magnetic reconnection in the turbulent eddies. When those conditions are met, a new turbulence regime is accessed where reconnection-driven energy dissipation becomes common, rather than the rare feature that it must be when they are not. We conclude that while such conditions are very stringent for ﬂuid-scale eddies, they are easily met for kinetic-scale eddies; in particular, we suggest that our arguments may help explain recent Magnetospheric Multiscale (MMS) observations of (so-called) electron-only reconnection and of energy dissipation via electron Landau damping in the Earthʼs magnetosheath.","Physics","electron-only reconnection, energy cascade, fluid-scale eddies, kinetic-scale eddies, magnetized turbulence, nonlinear magnetic reconnection, nonlinear reconnection, rare feature, recent analytical works, reconnection-driven energy dissipation, strong magnetized plasma turbulence, tearing instability, turbulence regime, turbulent eddies",NA,"Loureiro, N.F.; Boldyrev, S.",NA,"Loureiro, N.F.; Boldyrev, S., 2021, ""Nonlinear Reconnection in Magnetized Turbulence"", https://doi.org/10.7910/DVN/LGOKIK, Harvard Dataverse, V2","c(""20ja044_archival_manuscript.pdf"", ""20ja044_archival_manuscript.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"757",757,"Multi-species collisions for delta-f gyrokinetic simulations: Implementation and verification with GENE","A multi-species linearized collision operator based on the model developed by Sugama et al. has been implemented in the nonlinear gyrokinetic code, GENE. Such a model conserves particles, momentum, and energy to machine precision, and is shown to have negative definite free energy dissipation characteristics, satisfying Boltzmann’s H-theorem, including for realistic mass ratio. Finite Larmor Radius (FLR) effects have also been implemented into the local version of the code. For the global version of the code, the collision operator has been developed to allow for block-structured velocity space grids, allowing for computationally tractable collisional global simulations. The validity of the collision operator has been demonstrated by relaxation and conservation tests, as well as appropriate benchmarks. The newly implemented operator shall be used in future simulations to study magnetically confined fusion plasma turbulence and transport in more extreme regions with higher collisionality.","Physics","collision operators, energy dissipation characteristics, Finite Larmor radius effects, global simulation, gyrokinetic codes, gyrokinetic simulations, machine precision, magnetically confined fusion plasmas",NA,"Crandall, P.; Jarema, D.; Doerk, H.; Pan, Q.; Merlo, G.; Görler, T.; Navarro, A. Bañón; Told, D.; Maurer, M.; Jenko, F.",NA,"Crandall, P.; Jarema, D.; Doerk, H.; Pan, Q.; Merlo, G.; Görler, T.; Navarro, A. Bañón; Told, D.; Maurer, M.; Jenko, F., 2021, ""Multi-species collisions for delta-f gyrokinetic simulations: Implementation and verification with GENE"", https://doi.org/10.7910/DVN/OQ2BSJ, Harvard Dataverse, V2","c(""20ja038_archival_manuscript.pdf"", ""20ja038_archival_manuscript.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"758",758,"A Ioffe Trap Magnet for the Project 8 Atom Trapping Demonstrator","The goal of the Project 8 experiment (B.Monreal and J. Formaggio, 2009) is to measure the absolute neutrino mass using tritium, which involves precisely measuring the energies of the beta-decay electrons in the high-energy tail of the spectrum (A. A. Esfahani et al., 2017). The experimental installation of Project 8 Atom Trapping Demonstrator requires a magnet with rather unusual field properties. The magnet has to contain within the cold mass a large volume enclosed by a continuous, uninterrupted boundary higher than 2 T, whereas the field in a substantial volume inside this boundary has to be of the order of 10−4 T or less. A 1-T solenoid field provides the background field necessary for the detection of the beta-decay electrons (A. A. Esfahani et al., 2019). A proposed toroidal magnet system [a Ioffe-Pritchard trap (T. Bergeman et al., 1987)] comprised of specially shaped multiple racetrack windings with opposing polarities satisfies these unusual requirements. Themagnet is made of NbTi wire and expected to be conduction cooled. Manufacturability issues are addressed as well as the effect of tolerances on the field quality. The design includes additional topological features providing a low-field duct for interfacing with the peripheral coils of the velocity and state selector.","Physics","absolute neutrino mass, background field, beta-decay electrons, field quality, high-energy tail, ioffe trap magnet, Ioffe-Pritchard trap, low-field duct, Project 8 Atom Trapping Demonstrator, project 8 experiment, solenoid field, toroidal magnet system, unusual field properties",NA,"Radovinsky, A.L.; Lindman, A.; Formaggio, J.A.; Minervini, J.V.",NA,"Radovinsky, A.L.; Lindman, A.; Formaggio, J.A.; Minervini, J.V., 2021, ""A Ioffe Trap Magnet for the Project 8 Atom Trapping Demonstrator"", https://doi.org/10.7910/DVN/FDQF0Y, Harvard Dataverse, V2","c(""20ja037_archival_manuscript.pdf"", ""20ja037_archival_manuscript.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"759",759,"A second order yield-temperature relation for accurate inference of burn-averaged quantities in multi-species plasmas","Measured yields and ion temperatures inferred from the fusion product energy spectra can be used as metrics for the performance of an ICF implosion. This can be to infer species separation, thermal decoupling, flows or other effects that can cause the inferred ion temperatures to deviate from the true underlying thermal temperature and the yield ratio to deviate from the expected value. Direct inference of the impact of these effects on observed temperatures and yields can be difficult to uncover due to underlying dependence on the shape and time evolution of the temperature and density pro les of the fusing plasma. Due to differences in the temperature dependence of the reactivities, different fusion products are emitted from different regions and times within the implosion. In order to properly account for this, a second order analytic expression relating the apparent temperatures and yield ratios is developed. This expression can be coupled to models of yield and/or temperature altering effects to infer their burn-averaged impact on an implosion. The second order expression shows significant improvement over lower order expressions in synthetic data studies. Demonstrations of its applications to synthetic data coupled with models of ion thermal decoupling and radial flows are presented. In the case of thermal decoupling both first and second order expressions show reasonable levels of accuracy. To consistently infer the amplitude of radial flow with <10% error the second order equation is required.","Physics","Burn Weighting, fusion, ICF, MFE, NIF [National Ignition Facility], OMEGA Laser Facility",NA,"N. V. Kabadi, P. J. Adrian, A. Bose, D. T. Casey, J. A. Frenje, M. Gatu Johnson, B. Lahmann, O. M. Mannion, R. D. Petrasso, H. G. Rinderknecht, F. H. Seguin, H. W. Sio, G. D. Sutcliffe, A. B. Zylstra",NA,"N. V. Kabadi, P. J. Adrian, A. Bose, D. T. Casey, J. A. Frenje, M. Gatu Johnson, B. Lahmann, O. M. Mannion, R. D. Petrasso, H. G. Rinderknecht, F. H. Seguin, H. W. Sio, G. D. Sutcliffe, A. B. Zylstra, 2021, ""A second order yield-temperature relation for accurate inference of burn-averaged quantities in multi-species plasmas"", https://doi.org/10.7910/DVN/EF9MGN, Harvard Dataverse, V1, UNF:6:wvaZ9PZ0Q7RfzfQAXNgBZg== [fileUNF]","c(""20ja022_fig1-4_data.tab"", ""20ja022_fig1-4_data.tab"")","c(1, NA)","c(17, NA)","c(12, NA)","Harvard Dataverse"
"760",760,"Saturn-ring proton backlighters for the NIF","Proton radiography is a well-established technique for measuring electromagnetic ﬁelds in high-energy-density plasmas. Fusion reactions producing monoenergetic particles, such as D3He, are commonly used as a source, produced by a capsule implosion. Using smaller capsules for radiography applications is advantageous as the source size decreases, but on the NIF this is complicated by the risk introduced from increasing blow-by light, since the phase plate focal spot size is much larger than the capsules. We report a demonstration of backlighter targets where a ‘Saturn’ ring is placed around the capsule to block this light. The nuclear performance of the backlighters is unperturbed by the addition of a ring. We also test a ring with an equatorial cutout, which severely aﬀects the proton emission and is not viable for radiography applications. These results demonstrate the general viability of Saturn ring backlighter targets for use on NIF.","Physics","backlighter, inertial confinement fusion, inertial confinement fusion target, proton radiography",NA,"A.B. Zylstra, R. S. Craxton, J.R. Rygg, C.-K. Li, L. Carlson, M. J.-E. Manuel, K. Youngblood, E.M. Garcia, L.T. Browning, S. Le Pape, N. Candeias Lemos, B. Lahmann, M. Gatu Johnson",NA,"A.B. Zylstra, R. S. Craxton, J.R. Rygg, C.-K. Li, L. Carlson, M. J.-E. Manuel, K. Youngblood, E.M. Garcia, L.T. Browning, S. Le Pape, N. Candeias Lemos, B. Lahmann, M. Gatu Johnson, 2021, ""Saturn-ring proton backlighters for the NIF"", https://doi.org/10.7910/DVN/R0TFQX, Harvard Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"761",761,"Replication Data for: Reporting the polls: the quality of media reporting of vote intention polls in the Netherlands","This is replication data for an article in Acta Politica. This article examines the media coverage of vote intention polls in the Netherlands. We assess whether the quality of media reporting on polls depends on the availability of information regarding the quality in pollster’s reports. Our analysis of the quality looks at three different quality measures: (1) mentioning WAPOR items, such as field dates, sampling method, and polling method, (2) mentioning the margin of error, and (3) the correct interpretation of (in)significant changes and differences. The Netherlands provides an interesting case, because there is variation over time and across pollsters in the way they report their polls as well as the increased popularity of a polling aggregator. Our findings indicate that the overall quality of Dutch coverage of polls is low. When a pollster mentions the margin of error in its report, media reports on that poll are more likely to include this information and to correctly interpret the significance of differences between two parties. This effect is particularly visible when the pollster provides uncertainty intervals in its headline figures. (2021-06-26)","Social Sciences","opinion polling, vote intention, survey research, polling","2021-06-27","Louwerse, Tom (Leiden University) - ORCID: 0000-0003-4131-2724                                                    Van Dijk, Rozemarijn E. (University of Antwerp) - ORCID: 0000-0003-1232-5366","Louwerse, Tom","Louwerse, Tom; Van Dijk, Rozemarijn E., 2021, ""Replication Data for: Reporting the polls: the quality of media reporting of vote intention polls in the Netherlands"", https://doi.org/10.7910/DVN/1QX5F2, Harvard Dataverse, V1","c(""data_media_type.rds"", ""data_media_type.rds"", ""data_media_type.rds"", ""data_media_type.rds"", ""data_media_type.rds"", ""data_media_type.rds"")","c(0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"762",762,"Replication Data for: The great equalizer: Inequality in tribal energy access and policies to address it","Replication material for:  Aklin, Michaël, Brian Blankenship, Vagisha Nanda, and Johannes Urpelainen. ""The great equalizer: Inequality in tribal energy access and policies to address it"" Energy Research & Social Science.","Social Sciences",NA,"2021-06-28","Aklin, Michaël (University of Pittsburgh) - ORCID: 0000-0003-3912-082X                                                    Blankenship, Brian (University of Miami)                                                    Nandan, Vagisha (ISEP)                                                    Urpelainen, Johannes (Johns Hopkins University)","Aklin, Michaël","Aklin, Michaël; Blankenship, Brian; Nandan, Vagisha; Urpelainen, Johannes, 2021, ""Replication Data for: The great equalizer: Inequality in tribal energy access and policies to address it"", https://doi.org/10.7910/DVN/PYSTIM, Harvard Dataverse, V1, UNF:6:OMgwgWIj6XD/1N8lVm8iPg== [fileUNF]","c(""Aklinetal_Appendix.pdf"", ""Aklinetal_Appendix.pdf"", ""Aklinetal_Appendix.pdf"", ""Aklinetal_Appendix.pdf"", ""Aklinetal_Appendix.pdf"")","c(0, 0, 0, 0, NA)","c(650, NA, NA, NA, NA)","c(1440, NA, NA, NA, NA)","Harvard Dataverse"
"763",763,"Replication Data for: Predictable Crises Shape Public Opinion: Evidence from the COVID-19 Natural Experiment","How do the predictable COVID-19-related medical and economic crises affect public opinion? To answer this question, we analyze a nationwide random sampling survey (n = 2053 respondents) coinciding with the period from the beginning of the outbreak of COVID-19 to its peak. This scale and timing enable us to trace a shift in public opinion. We find that the levels of public support for big government had increased before the spread of COVID-19. Furthermore, the results show that with the sudden growth of patients, people predicted a future economic crisis and thus demanded the government to implement economic stimulus measures to reduce damage. Our findings imply that public opinion is formed earlier than crises actually materialize.","Social Sciences","COVID-19, economic crisis, public opinion, natural experiment, Japan","2021-03-18","Asano, Taka-aki (The University of Tokyo) - ORCID: 0000-0002-3228-1287                                                    Kaneko, Tomoki (The University of Tokyo) - ORCID: 0000-0003-0732-836X                                                    Omori, Shoko (The University of Tokyo) - ORCID: 0000-0003-1633-0672                                                    Takamiya, Shusuke (The University of Tokyo) - ORCID: 0000-0001-5661-9118                                                    Taniguchi, Masaki (The University of Tokyo) - ORCID: 0000-0002-4556-5692","Asano, Taka-aki","Asano, Taka-aki; Kaneko, Tomoki; Omori, Shoko; Takamiya, Shusuke; Taniguchi, Masaki, 2021, ""Replication Data for: Predictable Crises Shape Public Opinion: Evidence from the COVID-19 Natural Experiment"", https://doi.org/10.7910/DVN/E1OHUV, Harvard Dataverse, V1","c(""Natural_Experiment_Issue_Attention.R"", ""Natural_Experiment_Issue_Attention.R"", ""Natural_Experiment_Issue_Attention.R"", ""Natural_Experiment_Issue_Attention.R"")","c(1, 0, 0, NA)","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","Harvard Dataverse"
"764",764,"The Drouin Farm (Popsilos) 2021","This is a dataset of information compiled for Courses CIVE3207 (ARCN4100), CIVE4601 (ARCN4200), CIVE 5603 Course on Advanced Building Characterization, Conservation and Rehabilitation, or any other for students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University. Students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University will use these data to produce a Heritage Recording Dossier of this important Site. This material can not be used for commercial purposes or use in any form without the permission of Dr. Mario Santana, the authors and site custodians. (2021-06-17)","Arts and Humanities; Engineering; Other","Popsilos, farm, Historic Place","2021-06-17","Santana Quintero, Mario (Carleton University) - ORCID: 0000-0002-3836-9714                                                    Phillips, Hannah (Carleton University)","Santana Quintero, Mario","Santana Quintero, Mario; Phillips, Hannah, 2021, ""The Drouin Farm (Popsilos) 2021"", https://doi.org/10.5683/SP2/0TVVMG, Scholars Portal Dataverse, V3",NA,NA,NA,NA,"Harvard Dataverse"
"765",765,"The Michel Dignard et Jeannette Mongeon Farm (Popsilos)","This is a dataset of information compiled for Courses CIVE3207 (ARCN4100), CIVE4601 (ARCN4200), CIVE 5603 Course on Advanced Building Characterization, Conservation and Rehabilitation, or any other for students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University. Students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University will use these data to produce a Heritage Recording Dossier of this important Site. This material can not be used for commercial purposes or use in any form without the permission of Dr. Mario Santana, the authors and site custodians. (2021-06-25)","Arts and Humanities; Engineering; Social Sciences","Popsilos, Historic Farm, Historic Place","2021-06-26","Santana Quintero, Mario (Carleton University) - ORCID: 0000-0002-3836-9714                                                    Phillips, Hannah (Carleton University)                                                    Chouinard, Valerie (Carleton University)","Santana Quintero, Mario","Santana Quintero, Mario; Phillips, Hannah; Chouinard, Valerie, 2021, ""The Michel Dignard et Jeannette Mongeon Farm (Popsilos)"", https://doi.org/10.5683/SP2/VIXVU6, Scholars Portal Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"766",766,"Replication Data for: Grassland Ecological Compensation Policy in China Improves Grassland Quality and Increases Herders' Income","This data set contains both household-level and county-level panel data and code for replication of the results presented in the paper titled ""Grassland Ecological Compensation Policy in China Improves Grassland Quality and Increases Herders' Income"" (2021-6-28)","Social Sciences",NA,"2021-06-28","Hou, Lingling (Peking University) - ORCID: 0000-0002-2111-2998                                                    Xia, Fang                                                    Chen, Qihui                                                    Huang, Jikun                                                    He, Yong                                                    Rose, Nathan                                                    Rozelle, Scott","Hou, Lingling","Hou, Lingling; Xia, Fang; Chen, Qihui; Huang, Jikun; He, Yong; Rose, Nathan; Rozelle, Scott, 2021, ""Replication Data for: Grassland Ecological Compensation Policy in China Improves Grassland Quality and Increases Herders' Income"", https://doi.org/10.7910/DVN/IWLO8T, Harvard Dataverse, V1, UNF:6:MRTaYKEsnKI7WR8tOTR+tA== [fileUNF]","c(""county_code.do"", ""county_code.do"", ""county_code.do"", ""county_code.do"", ""county_code.do"")","c(4, 3, 1, 2, NA)","c(42, 45, NA, NA, NA)","c(20116, 4415, NA, NA, NA)","Harvard Dataverse"
