"","Tags","Public Access Level","Rights","Program Contact Name","Program Contact Email","Frequency","Last Updated","Created","Followers","Organization","Social"
"1488","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, long-legged, myotis, ds182320160616wm, habitat, mammal, natural, resources, sn, myotis, volans, species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1489","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""california"", ""myotis"", ""ds182420160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""myotis"", ""californicus"", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1490","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""canyon"", ""bat"", ""ds182720160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""parastrelluss"", ""he..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1491","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, western, red, bat, ds182920160616wm, habitat, mammal, natural, resources, sn, lasiurus, blossev..., species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:17 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1492","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""western"", ""yellow"", ""bat"", ""ds183120160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""lasiurus"", ""xanthinus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:17 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1493","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""pallid"", ""bat"", ""ds183320160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""antrozous"", ""pallidus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1494","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, brazilian, free-t..., ds183420160616wm, habitat, mammal, natural, resources, sn, tadarida, brasili..., species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:19 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1495","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""pocketed"", ""free-ta..."", ""ds183520160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""nyctinomops"", ""femo..."", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:12 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1496","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""big"", ""free-tailed"", ""bat"", ""ds183620160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""nyctinomops"", ""macr..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:05 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1497","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, brush, rabbit, ds183920160616wm, habitat, mammal, natural, resources, sn, sylvilagus, bachmani, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1498","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""nuttalls"", ""cottontail"", ""ds184020160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""sylvilagus"", ""nutta..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:01 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1499","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""snowshoe"", ""hare"", ""ds184220160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""lepus"", ""americanus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:05 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1500","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, white-tailed, jac..., ds184320160616wm, habitat, mammal, natural, resources, sn, lepus, townsendii, species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1501","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""golden-mantled"", ""g..."", ""ds186620160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""callospermophilu..."", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:17 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1502","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""eastern"", ""gray"", ""squ..."", ""ds186720160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""sciurus"", ""caroline..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:23 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1503","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, western, gray, squ..., ds186820160616wm, habitat, mammal, natural, resources, sn, sciurus, griseus, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1504","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""bottas"", ""pocket"", ""go..."", ""ds187220160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""thomomys"", ""bottae"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1505","""amphibian"", ""authcdfw"", ""biota"", ""california"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cncalifornia"", ""tiger"", ""..."", ""ds284120200428wm"", ""environment"", ""habitat"", ""natural"", ""resources"", ""snambystoma"", ""califor..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:06 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1506","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, mazama, pocket, go..., ds187520160616wm, habitat, mammal, natural, resources, sn, thomomys, mazama, species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:03 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1507","""amphibian"", ""authcdfw"", ""biota"", ""california"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cncalifornia"", ""tiger"", ""..."", ""ds283920200428wm"", ""environment"", ""habitat"", ""natural"", ""resources"", ""snambystoma"", ""califor..."", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:10 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1508","""amphibian"", ""authcdfw"", ""biota"", ""california"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cncalifornia"", ""tiger"", ""..."", ""ds284020200428wm"", ""environment"", ""habitat"", ""natural"", ""resources"", ""snambystoma"", ""califor..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:11 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1509","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, black, tern, ds096920160308wm, habitat, natural, resources, sn, chlidonias, niger, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1510","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""cassins"", ""auklet"", ""ds097020160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""ptychoramphus"", ""al..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1511","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""crissal"", ""thrasher"", ""ds097120160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""crissale"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1512","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, fork-tailed, stor..., ds097220160308wm, habitat, natural, resources, sn, oceanodroma, furcata, species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:09 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1513","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""fulvous"", ""whistlin..."", ""ds097320160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""dendrocygna"", ""bicolor"", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:05 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1514","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""le"", ""contes"", ""thrasher"", ""ds097820160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""lecontei"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1515","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, loggerhead, shrike, ds097920160308wm, habitat, natural, resources, sn, lanius, ludovicianus, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1516","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""long-eared"", ""owl"", ""ds098020160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""asio"", ""otus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:10 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1517","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""golden"", ""eagle"", ""ds096020160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""aquila"", ""chrysaetos"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:04 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1518","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, american, white, p..., ds096420160308wm, habitat, natural, resources, sn, pelecanus, erythr..., species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1519","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""ashy"", ""storm-petrel"", ""ds096520160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""oceanodroma"", ""homo..."", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1520","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""bendires"", ""thrasher"", ""ds096620160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""bendirei"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1521","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, cassins, auklet, ds097020160308wm, habitat, natural, resources, sn, ptychoramphus, al..., species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1522","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""crissal"", ""thrasher"", ""ds097120160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""crissale"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1523","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""fork-tailed"", ""stor..."", ""ds097220160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""oceanodroma"", ""furcata"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:09 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1524","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, fulvous, whistlin..., ds097320160308wm, habitat, natural, resources, sn, dendrocygna, bicolor, species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:05 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1525","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""le"", ""contes"", ""thrasher"", ""ds097820160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""lecontei"", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1526","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""loggerhead"", ""shrike"", ""ds097920160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""lanius"", ""ludovicianus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1527","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, long-eared, owl, ds098020160308wm, habitat, natural, resources, sn, asio, otus, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:10 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1528","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""golden"", ""eagle"", ""ds096020160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""aquila"", ""chrysaetos"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:04 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1529","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""american"", ""white"", ""p..."", ""ds096420160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""pelecanus"", ""erythr..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1530","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, ashy, storm-petrel, ds096520160308wm, habitat, natural, resources, sn, oceanodroma, homo..., species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1531","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""bendires"", ""thrasher"", ""ds096620160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""toxostoma"", ""bendirei"", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1532","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""black"", ""skimmer"", ""ds096720160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""rynchops"", ""niger"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1533","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, black, storm-petrel, ds096820160308wm, habitat, natural, resources, sn, oceanodroma, melania, species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1534","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""grasshopper"", ""sparrow"", ""ds097420160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""ammodramus"", ""savan..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1535","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""gray"", ""vireo"", ""ds097520160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""vireo"", ""vicinior"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:23 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1536","authcdfw, bird, california, departme..., california, natural, ..., caopendata, cdfw, cn, gull-billed, tern, ds097620160308wm, habitat, natural, resources, sn, gelochelidon, nil..., species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1537","""authcdfw"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""harlequin"", ""duck"", ""ds097720160308wm"", ""habitat"", ""natural"", ""resources"", ""sn"", ""histrionicus"", ""his..."", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:11 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1538","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""mountain"", ""pocket"", ""..."", ""ds187620160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""thomomys"", ""monticola"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:17 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1539","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, san, joaqiuin, poc..., ds187720160616wm, habitat, mammal, natural, resources, sn, perognathus, inor..., species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:19 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1540","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""great"", ""basin"", ""pock..."", ""ds187820160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""perognathus"", ""parvus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:19 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1541","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""great"", ""basin"", ""pock..."", ""ds187820160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""perognathus"", ""parvus"", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:19 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1542","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, baileys, pocket, m..., ds188120160616wm, habitat, mammal, natural, resources, sn, chaetodipus, rudi..., species, wildlife","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1543","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""san"", ""diego"", ""pocket..."", ""ds188220160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""chaetodipus"", ""fallax"", ""species"", ""wildlife"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:11 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1544","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""spiny"", ""pocket"", ""mouse"", ""ds188420160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""chaetodipus"", ""spin..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:04 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1545","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, cn, dark, kangaroo, mouse, ds188520160616wm, habitat, mammal, natural, resources, sn, microdipodops, me..., species, wildlife)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:02 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"1546","""authcdfw"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""cn"", ""california"", ""kanga..."", ""ds189220160616wm"", ""habitat"", ""mammal"", ""natural"", ""resources"", ""sn"", ""dipodomys"", ""califo..."", ""species"", ""wildlife""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
